FID,passage,"choice 1 def 0 st 2 counselor",response
train/210.txt,"I always feel the need to tell people everything Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there’s a hole in my stomach. It only goes away when I hurt myself.",1,"I'm sorry to hear that you're feeling this way. It sounds like you may be experiencing some intense emotions and struggling with the need to constantly share everything with others. It's important to remember that it's okay to keep some things to yourself and that you don't have to share everything in order to feel validated or accepted. 

It's concerning to hear that you feel the need to hurt yourself in order to cope with these feelings. I would highly encourage you to seek support from a mental health professional who can help you navigate these emotions and develop healthier coping mechanisms. You deserve to feel heard and understood without having to resort to self-harm. Please know that help is available and you don't have to go through this alone. Take care."
train/408.txt,How can I just be happy and not mad all the time?  Everything just makes me upset.,1,"I'm sorry to hear that you're feeling this way. It sounds like you're really struggling with your emotions right now. It's completely normal to feel a range of emotions, including anger, but it can be really overwhelming when it feels like that's all you're experiencing. Have you talked to anyone about how you're feeling? It might be helpful to speak with a therapist or counselor who can help you explore what's causing these intense emotions and work on strategies to help you feel happier and more at peace. Remember, you're not alone in this and there is support available to help you through this difficult time."
train/678.txt,People make me sick I have several issues like I don't like people. They make me sick. I have issues with talking to people. I feel like they are talking about me and making fun of me. I have felt this way for years. When I look people in the eyes I have voices that tell me to hurt them and if I don't stop looking at who I am talking to it gets so loud I can't hear what they are saying. I just stay away from people to avoid this. I look at people and think how I could hurt them. I feel like I am worthless and would be better off not in this world where I don't fit in. Every day I wake up it's like another day. Any info would be good.,1,"I am so sorry to hear that you are struggling with these feelings and thoughts. It sounds like you are experiencing a lot of distress and it must be incredibly difficult for you to navigate through each day. It takes a lot of courage to reach out for help and I want you to know that you are not alone in this. 

It is important to remember that these thoughts and feelings are not a reflection of who you are as a person. It may be helpful for you to seek support from a mental health professional who can provide you with coping strategies and tools to manage these overwhelming thoughts. You deserve to feel safe and supported, and there are resources available to help you work through these challenges. 

Please know that there is hope for healing and that you are valued and deserving of a fulfilling life. You are not alone in this journey and there are people who care about you and want to support you. Take care of yourself and reach out for help when you need it. You are worth it."
train/46.txt,"How can I get people to listen?  I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.  I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.",1,"I am so sorry to hear that you are feeling this way. It must be incredibly difficult to feel like you don't have anyone to turn to, especially when it comes to your own parents. It's important to remember that you are not alone in feeling this way, and that there are people out there who are willing to listen and support you.

It sounds like you have been through a lot and have shown incredible strength in overcoming depression. It's okay to feel overwhelmed and stressed, especially when it feels like those closest to you are not providing the support you need. It's important to prioritize your own mental health and well-being, and seeking out a therapist or counselor could be a helpful step in finding someone who will listen and provide you with the support you need.

Remember that it's okay to set boundaries with your friends and let them know when you need their support. It's important to have open and honest communication with those around you, and to surround yourself with people who truly care about your well-being.

You are not alone in feeling this way, and there are people out there who will listen and support you. It's important to prioritize your own mental health and well-being, and to seek out the help and support you need. You deserve to have people in your life who will listen to you and support you, and I hope that you are able to find that support soon."
train/282.txt,"How do I save my marriage?  What am I doing wrong? My wife and I are fighting all the time. What can I do? We don't agree on anything and she usually jumps to conclusions, which are usually wrong on how I feel. She is very family-oriented while all of my family left me on my butt, abused, ignored and messed up with me mentally. I'm not a family-oriented person. I only have two people in my life - my best friend and my wife.    My mother forced my father out of my life so I do not know who he really is. We've gotten in contact but he just makes comments on how much I look like her when in fact I look more like him. This makes me mad because I don't want to look like my mother. I hate her. All that she did was bring me down and make me homeless, which she was successful at. I need guidance in my life. I don't want to lose my wife but we need to have a space because we usually hit each other and it's not healthy. I'm dying to make our relationship healthy. I've never wanted anything more than this. Please help me. I need your advice.",2,"Hello. It sounds to me like you are carrying an enormous amount of emotional weight, and maybe even an equally enormous amount of guilt and feelings of failure about your marriage. I cannot imagine how challenging this is for you right now. Marriages take lots of work, and often the only examples we tend to have are of those we saw when we were young - good, bad, or indifferent. There are no easy answers to your questions, and I won't presume that my response to you will be the linch-pin that heals all your pain. But I can maybe give some thoughts and reflections. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow. Yes, you're right, the abusive aspects of your marriage are not good, and need to stop. You probably are doing more harm than good in that regard, and this will quickly destroy anything you have in your marriage that is even remotely in your favor. Seeing a therapist for yourself, and then seeing a therapist as a couple is a good approach. You have issues that you need to resolve, that, while they impact your marriage because they are part of the history of your life, they are separate from your marriage in many respects.Joining a marriage support group can also be helpful. You can find these through local counseling resources. Sometimes your local crisis numbers can provide services in your area that can be helpful. If you belong to a religious or spiritual community, then you might see if there is any type of counseling offered for free or at a reduced rate. Sometimes pastoral support is focused on the spiritual side of any issues addressed, so if you feel this is important it might be a viable option for you.Lastly, parents are imperfect. Yep...its true. They had no more of a guaranteed parenting success manual than you do at having chances for a perfect marriage. We limp along and do our best. Having said that, we can still take the best from our past and apply to our future, no matter how small or insignificant it might be for us. The bad stuff serves as lessons of what to avoid, and we are each responsible and accountable for our actions in this life. Both with ourselves, and toward other people. So this becomes a guiding principle in our actions. It may be that you discover that the marriage you are in is not a good fit.  I am sure that remains to be seen, but either way you both must be involved in saving it. If only one of you cares, then 100% of the energy to salvage the marriage rests on the shoulders of one person. That's not fair. So be sure you have a clear understanding from your wife about what she wants, and work to create an amicable solution. All of this said, seek out supportive friends, and actively work to do your part to make the changes you want to see in your life. One way or the other, you will benefit from it.Be well."
train/153.txt,"Why do I feel anxious and uncomfortable at parties or big social situations? Example would be homecoming? I was at my high school's home football game on Friday, and I left because I felt uncomfortable with all the people there and I just wanted to be by myself. Why is that?",1,"I'm sorry to hear that you're feeling anxious and uncomfortable in social situations like parties or big events like homecoming. It's completely normal to feel overwhelmed in crowded or unfamiliar settings, especially if you're someone who values alone time and quiet moments. It's important to remember that everyone experiences social anxiety differently, and it's okay to prioritize your own well-being by taking breaks or stepping away when you need to.

It might be helpful to explore why these situations trigger anxiety for you. Are there specific aspects of parties or large gatherings that make you feel uncomfortable? Are there any past experiences or underlying concerns that could be contributing to these feelings? Talking to a therapist or counselor could help you explore these questions and develop coping strategies to navigate social situations more comfortably.

Remember, it's okay to prioritize your mental health and well-being, even if it means stepping away from a social event. Take care of yourself and don't hesitate to reach out for support if you need it."
train/123.txt,"I hate talking to people much less strangers  My doctor thinks that seeing a psychiatrist will help with my depression and anxiety. Now my anxiety is worse, what do I do? Writing on here has taken every bit of strength I have left.",2,"Did you take the medication the way the psychiatrist prescribed it?  Did you follow up with her/him to report how it was going?  Different medications work differently with different people.   It's not always the first one that helps.  And some of the medications take some time to have an effect.  Give the doctor the chance to help you. I suggest you find a certified CBT therapist to help you examine your thinking.  www.AcademyofCT.org has listings of the finest CBT clinicians.  In the meantime, do some ""anxiety fasting"" by taking a few minutes to do something nice for yourself right now.  I hope you feel better soon.  ~Mark (www.MarkMorrisLCSW.com and www.LivingYes.org)"
train/365.txt,"Could a car accident add more problems to my posttraumatic stress disorder? I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?",2,"You are right on to recognize that the effects of trauma can be cumulative.  It is very possible that a car accident could lead to an increase in PTSD symptoms that were related to other traumatic experiences.If you have been deployed to a combat area, you are most likely eligible for free counseling services through the VA Vet Centers.  The Vet Center clinicians typically have a lot of experience working with military trauma. Here's a link to a directory of Vet Centers:http://www.va.gov/directory/guide/vetcenter.aspYour service and sacrifice is greatly appreciated."
train/296.txt,Am I going to be alone forever?  I feel like I'm trying to convince myself that I'm okay when I'm not. I'm always blocking out the bad things and forgetting. I also feel like nobody cares for me and they never will. I feel truly alone.,2,"I can relate! When things are going badly, I feel like my life has always been and will always be that way. (But I also do this when things are going well. That is, I forget how good things can turn bad. Personally, to avoid this emotional roller-coaster, I try and heed the famous advice by author and feminist Rita Mae Brown: ""One of the keys to happiness is a bad memory.""So maybe this weakness of your for forgetting is really a strength! It sounds a lot like living in the moment to me. And while it’s hard to manage my past and my future, the moment seems like a small enough piece of temporal real estate to sort out. So that’s the “what” of my answer. The “how” goes like this: Choose one from column A, two from column B, and three from column C in the following chart. Then try doing them for as long as you can. Then see what happens.A                                            B                                                  CGratitude                                Forgiveness                                 AppreciationExpectations                           Meditation                                    ExerciseBitterness                               Distraction                                    Volunteering Resentment                            Substances                                  WorryRegret                                    Possessions                                 PessimismShame                                    Desire                                          SuperstitionRage                                      Isolation                                        WishingSelf-loathing                           Criticism                                       Withholding If you feel as though what you think and believe are out of your control, or that your values were imposed on you, or that nothing good will ever happen again, then we will have to respectfully disagree. You’ve ask a very deep and insightful question, proving that your hope has gotten you this far. Hang onto that hope because I’m an example of things working out despite my previous way of looking at my life.Instead of “convincing” yourself that you’re okay when you’re not, how about calling it “accepting yourself as okay just the way you are, without judging your okayness.” You probably have high standards (perfectionism?) and that’s a thing to talk with a counselor about. The opposite of perfect is not horrible. It’s called “good enough.”Blocking out the bad things and forgetting is as natural as eating and sleeping. All the other mammals do it (except when it comes to life-threatening bad things) so why shouldn’t we? This might be called optimism. Feeling alone and uncared for is a worse feeling than being despised. This is good! This means (I suppose) that you don’t despise yourself as much as you just don’t care for you (because we can often project our own self-beliefs onto others). This is an abstract concept that will take some time to get used to. But I have a suspicion that, with just a little more self-care, and a little more caring for others, you might be better off very soon."
train/91.txt,"How can I get over my depression and grief? My dad passed away when I was a teenager. I never got any help, and five years later, I feel like I can't handle it anymore.",1,"I am so sorry to hear about the loss of your dad and the pain you have been carrying for so long. It takes a lot of courage to reach out for help, and I want to commend you for taking this step towards healing. Grief and depression can be incredibly overwhelming, but please know that you do not have to go through this alone.

I would highly recommend seeking support from a mental health professional, such as a therapist or counselor, who can provide you with the tools and guidance to navigate through your emotions and work towards healing. It's never too late to address your grief and depression, and with the right support, you can learn to cope and eventually find peace.

In the meantime, be gentle with yourself and allow yourself to feel all of your emotions. Surround yourself with loved ones who can offer support and understanding. Remember that healing is a process, and it's okay to take it one day at a time. You deserve to find healing and happiness, and I believe that with the right support, you can overcome this pain."
train/289.txt,"Why am I so nervous talking to people? Whether it's to a guy or girl, I always feel insecure talking, and I am afraid of embarrassing myself and not being good enough. Even when I am walking, I worry about my appearance and facial expression and such.",0,"I'm sorry to hear that you're feeling so nervous when talking to people. It's important to recognize that these feelings of defectiveness often stem from critical words or experiences from others that have impacted your self-esteem. It's great that you're reaching out for support by sharing your feelings here.

Opening up to people you trust can be a helpful way to work through these feelings of insecurity. Talking to someone who cares about you and understands what you're going through can provide comfort and validation.

It's also important to explore different techniques to manage anxiety during social situations. This could include deep breathing exercises, mindfulness techniques, or seeking professional help from a mental health counselor. Remember, you are not alone in feeling this way, and there are resources and support available to help you navigate through these challenges. Take care."
train/382.txt,Should we put off kids until my husband is mentally cured?  My boyfriend is seeking therapy. He is in his 40s and has some childhood issues. He has kids from his previous ex-wife and is unable to see them.,2,"Probably the more important questions to answer concern how much confidence you have in you and your boyfriend becoming parents, how you each feel about the influence of his being banned from seeing his current children, and be clear about the circumstances that led up to the decision of him not being permitted to see his kids.Don't allow some random professional to pronounce your boyfriend as cured.  A relatively qualified therapist would never make this call.Psychological and emotional tensions emerge from our relationships within families.  You and your boyfriend are in a position to set a strong foundation for having children, assuming each of you wants children.Childhood issues, your boyfriend's, anyone's, are more likely to go away when new patterns of interacting emerge.If the two of you are engaged in setting a secure relationship as future parents, the disappointments and hurt from the very early years, will be replaced by better ways of interacting."
train/302.txt,"How can I get over my ex-boyfriend cheating on me?  It's been almost a year since my ex-boyfriend broke up with me after he cheated on me many times. I had found out about a month before, but I hadn't told him I knew because I didn't want us to break up. I used to have very low self-esteem, and I think it might have to do with my dad being an alcoholic. My father cheated on my mother when I was little. I wonder if this pain has to do with that. My ex-boyfriend and I were only dating for five months, but I still can't get over this betrayal. I'm not sure what to feel to get over it: forgiveness? Hate? He helped me financially after our break up by lending me $3000, so I'm grateful for that. I still hate him for what he did and still want him to like me although we're not even talking anymore. We follow each other on Instagram and that's it. I feel like I still need his validation. This is haunting me day and night. I want to focus on my new relationship and goals, but I keep obsessing over this and keep checking my ex-boyfriend's Instagram and Facebook. I feel so bad and keep having nightmares.",0,"I am so sorry to hear about the pain and betrayal you are experiencing after your ex-boyfriend cheated on you. It is completely understandable that this situation would bring up feelings of low self-esteem and past trauma related to your father's infidelity. It's important to seek support and encouragement for expressing your feelings, instead of holding them back. It may be helpful to explore these underlying issues with a therapist who can help you work through them.

It's also important to pay attention to your behaviors and see if you are engaging in unnecessary actions to prevent mistakes or seeking validation from your ex-boyfriend. It may be helpful to practice forgiveness and avoid being overly punitive towards yourself or others when mistakes are made. It's okay to feel a range of emotions, including anger and hurt, but it's important to find healthy ways to process and move forward.

In terms of getting over your ex-boyfriend cheating on you, it may be helpful to focus on self-care, setting boundaries with him on social media, and seeking closure through therapy or journaling. It's important to prioritize your own well-being and focus on your new relationship and goals. Remember that healing takes time, and it's okay to seek professional help if needed. You deserve to move forward and find peace."
train/123.txt,"I hate talking to people much less strangers  My doctor thinks that seeing a psychiatrist will help with my depression and anxiety. Now my anxiety is worse, what do I do? Writing on here has taken every bit of strength I have left.",0,"I'm sorry to hear that you're struggling with depression and anxiety. It's understandable that talking to strangers, especially about such personal and difficult topics, can be overwhelming. It's important to remember that seeking help is a brave and important step towards healing.

I encourage you to take a moment to reflect on times when you feel fearful and overly cautious about potential abuse. Remember that you are not responsible for things that are not your fault. Surround yourself with non-abusive friends and partners who can provide support and understanding during this challenging time.

If seeing a psychiatrist has increased your anxiety, it's important to communicate this with your doctor. They may be able to adjust your treatment plan or provide additional support to help manage your anxiety. Remember that you are not alone in this journey, and there are people who care about you and want to help. Take care of yourself and reach out for support when you need it."
train/408.txt,How can I just be happy and not mad all the time?  Everything just makes me upset.,2,"Anger often comes with a lot of other emotions. Consider what else you may be feeling at the same time and keep track of your different mood changes. You may be able to notice patterns, such as being more frustrated when you don't sleep well. If you do feel as though you are mad all the time, can you think of any exceptions so you can see what is different in those times?"
train/373.txt,"How do I move on from almost being raped?  At a friend's house, we had some drinks and watched some television. He got up and went to bed. I felt sick. He came out to see if I was okay, and I said no. I said I wanted to go home, and he told me to come lay down. As I laid down on the bed, he started touching me. A friend called me, then I able to leave.",0,"I am so sorry to hear about what happened to you. It's completely understandable that you are feeling overwhelmed and unsure of how to move forward. It's important to remember that what happened was not your fault and you deserve to feel safe and supported. 

In terms of moving on from this traumatic experience, it may be helpful to keep track of how rarely your negative expectations actually come true. This can help challenge any thoughts or beliefs that may be causing you distress. Additionally, if there are any patterns or triggers that you have identified from past negative experiences, taking the time to brainstorm solutions and prevention strategies can be empowering. 

It may also be beneficial to reflect on moments from your childhood where your thoughts and feelings were overshadowed. This can help you understand any underlying issues that may be impacting your current emotional state. 

Above all, please know that you are not alone and there are resources and support available to help you through this difficult time. It may be helpful to consider speaking with a mental health professional who can provide guidance and support as you navigate your healing journey. Take care of yourself and reach out for help when you need it."
train/282.txt,"How do I save my marriage?  What am I doing wrong? My wife and I are fighting all the time. What can I do? We don't agree on anything and she usually jumps to conclusions, which are usually wrong on how I feel. She is very family-oriented while all of my family left me on my butt, abused, ignored and messed up with me mentally. I'm not a family-oriented person. I only have two people in my life - my best friend and my wife.    My mother forced my father out of my life so I do not know who he really is. We've gotten in contact but he just makes comments on how much I look like her when in fact I look more like him. This makes me mad because I don't want to look like my mother. I hate her. All that she did was bring me down and make me homeless, which she was successful at. I need guidance in my life. I don't want to lose my wife but we need to have a space because we usually hit each other and it's not healthy. I'm dying to make our relationship healthy. I've never wanted anything more than this. Please help me. I need your advice.",1,"I am so sorry to hear about the challenges you are facing in your marriage and in your personal life. It sounds like you have been through a lot of difficult experiences, especially with your family background. It is understandable that these experiences have had a significant impact on your relationships and your ability to trust and connect with others.

It is clear that you are committed to making your marriage work and creating a healthier relationship with your wife. It is important to acknowledge the patterns of conflict and violence that have emerged in your relationship and to take steps to address them. Seeking space from each other may be a necessary first step to ensure your safety and well-being.

I would encourage you to consider seeking support from a mental health professional who can help you navigate these challenges and develop healthier coping strategies. Therapy can provide a safe space for you to explore your feelings, process past traumas, and learn effective communication and conflict resolution skills.

It is also important to communicate openly and honestly with your wife about your feelings and needs. It may be helpful to attend couples therapy together to work through your differences and strengthen your relationship.

Please remember that you are not alone in this journey and that there is help available to support you. Take care of yourself and prioritize your own well-being as you work towards creating a healthier and happier relationship with your wife."
train/302.txt,"How can I get over my ex-boyfriend cheating on me?  It's been almost a year since my ex-boyfriend broke up with me after he cheated on me many times. I had found out about a month before, but I hadn't told him I knew because I didn't want us to break up. I used to have very low self-esteem, and I think it might have to do with my dad being an alcoholic. My father cheated on my mother when I was little. I wonder if this pain has to do with that. My ex-boyfriend and I were only dating for five months, but I still can't get over this betrayal. I'm not sure what to feel to get over it: forgiveness? Hate? He helped me financially after our break up by lending me $3000, so I'm grateful for that. I still hate him for what he did and still want him to like me although we're not even talking anymore. We follow each other on Instagram and that's it. I feel like I still need his validation. This is haunting me day and night. I want to focus on my new relationship and goals, but I keep obsessing over this and keep checking my ex-boyfriend's Instagram and Facebook. I feel so bad and keep having nightmares.",1,"I am so sorry to hear about what you are going through. It sounds like you have been carrying a lot of pain and betrayal from your past experiences with your father and now with your ex-boyfriend. It is completely understandable that this would be affecting your self-esteem and ability to move on.

It is important to remember that healing from betrayal takes time and it is okay to feel a range of emotions, including anger, sadness, and confusion. It may be helpful to explore these feelings with a therapist who can provide you with a safe space to process and work through these emotions.

It is also important to focus on self-care and self-love during this difficult time. Surround yourself with supportive friends and family who can provide you with love and encouragement. Practice mindfulness and grounding techniques to help manage the obsessive thoughts and nightmares.

In terms of your ex-boyfriend, it may be helpful to set boundaries and limit your contact with him on social media. It is okay to unfollow or block him if seeing his posts triggers negative emotions for you. Remember that you do not need his validation to feel worthy and loved.

Ultimately, forgiveness is a personal journey and it is important to prioritize your own healing and well-being. It may be helpful to explore forgiveness as a way to release the anger and pain you are holding onto, but it is not necessary to forgive in order to move forward.

Please know that you are not alone in this and there is support available to help you through this difficult time. You deserve"
train/289.txt,"Why am I so nervous talking to people? Whether it's to a guy or girl, I always feel insecure talking, and I am afraid of embarrassing myself and not being good enough. Even when I am walking, I worry about my appearance and facial expression and such.",1,"I'm sorry to hear that you're feeling so nervous and insecure when talking to people. It's completely normal to feel anxious in social situations, but it sounds like these feelings are really impacting your confidence and self-esteem. Remember that everyone has their own insecurities and fears, and you are not alone in feeling this way.

It's important to practice self-compassion and remind yourself that it's okay to make mistakes and not be perfect. Try to focus on the present moment and engage in deep breathing or grounding techniques to help calm your nerves. Additionally, seeking support from a therapist or counselor can be beneficial in exploring these feelings further and developing coping strategies to manage social anxiety. You are worthy and deserving of connection and acceptance, and it's okay to ask for help in navigating these difficult emotions. Take care."
