"FID","passage","choice 1def 0st 2counselor","response"
"train/91.txt","How can I get over my depression and grief? My dad passed away when I was a teenager. I never got any help, and five years later, I feel like I can't handle it anymore.","1","I am so sorry to hear about the loss of your father and the pain you have been carrying for so long. It is completely understandable that you are struggling with depression and grief, especially since you never received any help to process your emotions when he passed away. It takes a lot of courage to reach out for support, and I commend you for taking this step.

In order to begin healing from your depression and grief, I would highly recommend seeking out a mental health counselor or therapist who can provide you with the guidance and support you need. Talking to a professional can help you work through your emotions, develop coping strategies, and find ways to honor your father's memory in a healthy way.

It is also important to remember that healing is a journey and it is okay to take things one step at a time. Be gentle with yourself and allow yourself to feel your emotions without judgment. Surround yourself with supportive loved ones who can provide comfort and understanding during this difficult time.

You are not alone in this, and there is hope for a brighter future ahead. Please know that there are resources and people who care about you and want to help you through this. You deserve to find peace and healing, and I believe that with the right support, you can overcome your depression and grief."
"train/151.txt","When I'm around children I get this intense feeling of paranoia and fear  I'm a male in my early 20s. Lately, my paranoia about being around kids is causing me too breathe heavy and sweat a lot. I then start to act weird because I'm trying to fight my paranoia. This leads to people starring at me because they don't know that I'm suffering from panic attacks and paranoia. They just notice me acting scared around kids and they think I'm a threat because of it.    I'm not a pervert or predator. I would never hurt a kid. I like kids and don't know why I'm so scared to be around them.    I don't understand why I feel like this. Am I a bad person? How do I make this stop?","0","I want to first acknowledge how difficult and distressing this experience must be for you. It sounds like you are struggling with intense feelings of paranoia and fear when around children, which is causing you to have panic attacks and act in ways that are drawing attention from others. It's important to challenge the idea that you are a bad person or defective in any way. 

One suggestion I have is to examine and list the evidence for and against your belief of being a bad person. It may also be helpful to recognize that these thoughts of defectiveness are often influenced by the critical language of significant others or past experiences. Additionally, doing a cost-benefit analysis of the unrelenting standards schema may help you gain insight into where these feelings are coming from and how they are impacting your behavior.

It's important to remember that seeking help and support is a courageous step towards understanding and managing these feelings. I encourage you to consider reaching out to a mental health professional who can work with you to explore the root causes of your fear and develop coping strategies to help you feel more at ease around children. You are not alone in this and there is support available to help you navigate through this challenging experience."
"train/114.txt","My ex-boyfriend is with someone new, and it hurts  I just got out of a two year relationship. I broke up with my boyfriend because he wasn't showing any affection at all. He was talking to other women and lying about it. It pushed me away and hurt me, but I'm still in love with him. A couple days after our breakup, he was talking to someone new. He told me he wasn't sure if he loved me. I cried for several days, lost my appetite, and couldn't sleep. Our whole relationship was only us. We didn't have friends. It was me and him against the world. We didn't talk to anyone else because we only wanted to talk to each other. We hung out constantly and Skyped to sleep every single night. Then, when I cut myself, we talked on Skype. He cried and told me ""I'm still in love with you, I never stopped loving you,"" and I cried tears of joy. I asked multiple times if he loved me and asked to make sure he wasn't just saying that because of me being so depressed. He promised and assured me he loved me. He came over after that, and we had sex because he wanted to. He went the home that night and told me he didn't love me, and he lied because he was scared. He told me I wasn't attractive, I wasn’t beautiful to him, and that I changed. He also told me he was 100% sure he'd never love me again. I'm still in love with him. Why do I love him? How do I stop? Just knowing that someone else is with him hurts me. That I wasn't good enough and that I'm no longer beautiful hurts me. I think I need a therapist, but don't know if I should.","0","I'm so sorry to hear that you're going through this difficult time. It sounds like you've been through a lot of emotional pain and confusion. It's completely normal to still have feelings for your ex-boyfriend, even though he has hurt you. It's important to remember that his words and actions are a reflection of his own issues and insecurities, not a reflection of your worth or beauty.

It's understandable that knowing he is with someone new is causing you pain, but it's important to challenge any exaggerated thoughts you may have about his new relationship and how it reflects on you. It's also important to take care of yourself during this time of temporary separation. It may be helpful to seek therapy to work through your feelings and learn healthy coping mechanisms. 

Remember that you deserve to be with someone who treats you with love, respect, and honesty. It may take time, but with self-reflection and support, you can heal from this heartbreak and move forward towards healthier, more stable relationships. Take care of yourself and know that you are not alone in this journey."
"train/373.txt","How do I move on from almost being raped?  At a friend's house, we had some drinks and watched some television. He got up and went to bed. I felt sick. He came out to see if I was okay, and I said no. I said I wanted to go home, and he told me to come lay down. As I laid down on the bed, he started touching me. A friend called me, then I able to leave.","2","I am so sorry that this happened to you and am so glad that you were able to get away.  Your body is yours and yours alone.  I would highly recommend that you find a therapist who specializes in treating trauma in order to help you to heal from your ordeal."
"train/142.txt","How can I atone for being cowardly?  I panicked over a minor parking lot mistake. It was totally my fault, but due to another insurance issue, I left a note with an illegible phone number. Guilty over this, I got an envelope containing several hundred dollars. Unfortunately, by the time I returned, the other driver had seen my ersatz note and drove away. Since I cannot make this up to that individual, how do I atone for my cowardly act? I have been trying to do random acts of kindness in hopes that karma will somehow even out.","0","Response: I'm sorry to hear that you're feeling guilty about the situation in the parking lot. It's important to remember that everyone makes mistakes and it's okay to forgive yourself. Remember to list and remember your personal assets to reduce the significance you may be assigning to this perceived flaw. 

It's great that you are trying to make amends through random acts of kindness. This is a positive way to channel your feelings of guilt and show that you are committed to being a better person. Remember to practice more forgiving responses in situations where you have urges to blame yourself. It's important to be kind to yourself and recognize that we all have moments of weakness. Keep up the good work and continue to spread positivity through your actions."
"train/717.txt","My relationship feels off and I feel insecure  My girlfriend's grandma passed away 5 months ago. They were very close. She took care of her till she died. Things kinda returned to normal few weeks later. Last month it feels like we hit a brick wall. Intimacy fell off. I asked what's up. She says she can't connect with anyone and that it's not me. She used to be very open and expressive. Now she gives short answers and has no interest in sex or any touching. When we did have sex in the last month, something felt really off. Now I'm very insecure about us and have thoughts of her cheating. She says otherwise, but I don't know. It just feels like something is really off.","0","I'm so sorry to hear that you're going through this difficult time in your relationship. It's understandable that you're feeling insecure and worried about the changes you've noticed in your girlfriend's behavior. It sounds like she may be struggling with her own emotions and processing the loss of her grandmother. It's important to remember that grief can affect people in different ways and for different lengths of time.

In situations like this, it's important to think about a full spectrum of trustworthiness of others. It's also important to be less punitive when other people make mistakes or when their behavior changes. It's possible that your girlfriend is going through a difficult time and may need some space to process her emotions.

I would encourage you to slowly let other people get close to you and try to have open and honest conversations with your girlfriend about how you're feeling. It's important to communicate your concerns and fears in a non-accusatory way, and to listen to her perspective as well. It's also important to seek support for yourself during this challenging time, whether that's through talking to a therapist or counselor, or reaching out to friends and family for support.

Remember to be patient and understanding with both yourself and your girlfriend as you navigate this difficult time together. It's okay to feel insecure and worried, but it's important to approach the situation with empathy and compassion."
"train/282.txt","How do I save my marriage?  What am I doing wrong? My wife and I are fighting all the time. What can I do? We don't agree on anything and she usually jumps to conclusions, which are usually wrong on how I feel. She is very family-oriented while all of my family left me on my butt, abused, ignored and messed up with me mentally. I'm not a family-oriented person. I only have two people in my life - my best friend and my wife.    My mother forced my father out of my life so I do not know who he really is. We've gotten in contact but he just makes comments on how much I look like her when in fact I look more like him. This makes me mad because I don't want to look like my mother. I hate her. All that she did was bring me down and make me homeless, which she was successful at. I need guidance in my life. I don't want to lose my wife but we need to have a space because we usually hit each other and it's not healthy. I'm dying to make our relationship healthy. I've never wanted anything more than this. Please help me. I need your advice.","1","I am so sorry to hear about the struggles you are facing in your marriage and with your family history. It sounds like you have been through a lot of pain and trauma, and it's understandable that these experiences are impacting your current relationship with your wife.

It's important to recognize that the issues in your marriage are likely a result of both of your past experiences and how they are currently manifesting in your relationship. It's concerning that you and your wife are hitting each other, as this is not a healthy or safe way to communicate.

I would recommend seeking out individual therapy for yourself to work through the trauma and pain you have experienced in your past. This can help you better understand yourself, your emotions, and how your past is influencing your current relationships. It may also be beneficial for both you and your wife to attend couples therapy together to work on communication, conflict resolution, and building a healthier relationship.

It's important to take care of yourself and prioritize your mental health in order to work towards a healthier and happier relationship with your wife. Remember that healing takes time and effort, but with the right support and guidance, it is possible to create positive change in your life. You are not alone in this journey, and there is help available to you."
"train/210.txt","I always feel the need to tell people everything Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there’s a hole in my stomach. It only goes away when I hurt myself.","2","Hi Kansas, I feel strongly that the help of a professional therapist is important here. Feelings are never wrong, but it can help to understand where they come from and talk to someone who can teach you healthy ways to cope. Self-harm is not the answer to managing those emotions you feel in your stomach. Although I'm glad you said something here, a professional would need to spend some time with you and get a deep understanding of your life in order to help you sort all these reactions out effectively. I hope you reach out to someone soon."
"train/208.txt","I have come to the realization that my boyfriend and I want different things  I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month. I want someone who is more present and more of a life companion. Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want. We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.","0","I'm sorry to hear that you are going through this difficult situation. It sounds like you have been struggling with conflicting needs and desires in your relationship for quite some time. It's important to prioritize your own well-being and happiness, even if it means making the difficult decision to end the relationship.

It's clear that you have been subjugating your own needs for a long time, and it's important to recognize that your feelings and desires are valid. It's also important to have open and honest communication with your partner about your needs and boundaries. It may be helpful to use assertive techniques to clarify your needs and express your feelings with him.

Ending a long-term relationship can be incredibly challenging, and it's normal to feel anxious and depressed about the prospect of being alone or not finding someone else. However, it's important to remember that you deserve to be in a relationship that fulfills you and makes you happy.

I encourage you to seek support from friends, family, or a therapist as you navigate this difficult decision. Remember that taking care of yourself and prioritizing your own needs is not selfish, but essential for your well-being. You deserve to be in a relationship that brings you joy and fulfillment."
"train/123.txt","I hate talking to people much less strangers  My doctor thinks that seeing a psychiatrist will help with my depression and anxiety. Now my anxiety is worse, what do I do? Writing on here has taken every bit of strength I have left.","1","I am so sorry to hear that you are struggling with talking to people, especially strangers. It takes a lot of courage to reach out for help, and I commend you for taking that step. It is understandable that seeing a psychiatrist may have increased your anxiety, as it can be a daunting experience. 

I want you to know that you are not alone in feeling this way, and it is okay to feel overwhelmed. It is important to communicate your feelings to your psychiatrist so they can better support you and adjust their approach to help alleviate your anxiety.

In the meantime, try to practice self-care and coping strategies that work best for you. This could include deep breathing exercises, mindfulness techniques, or engaging in activities that bring you comfort. Remember to be kind to yourself and take things one step at a time. You are strong for reaching out for help, and I believe in your ability to overcome this hurdle. Take care."
"train/382.txt","Should we put off kids until my husband is mentally cured?  My boyfriend is seeking therapy. He is in his 40s and has some childhood issues. He has kids from his previous ex-wife and is unable to see them.","2","Probably the more important questions to answer concern how much confidence you have in you and your boyfriend becoming parents, how you each feel about the influence of his being banned from seeing his current children, and be clear about the circumstances that led up to the decision of him not being permitted to see his kids.Don't allow some random professional to pronounce your boyfriend as cured.  A relatively qualified therapist would never make this call.Psychological and emotional tensions emerge from our relationships within families.  You and your boyfriend are in a position to set a strong foundation for having children, assuming each of you wants children.Childhood issues, your boyfriend's, anyone's, are more likely to go away when new patterns of interacting emerge.If the two of you are engaged in setting a secure relationship as future parents, the disappointments and hurt from the very early years, will be replaced by better ways of interacting."
"train/373.txt","How do I move on from almost being raped?  At a friend's house, we had some drinks and watched some television. He got up and went to bed. I felt sick. He came out to see if I was okay, and I said no. I said I wanted to go home, and he told me to come lay down. As I laid down on the bed, he started touching me. A friend called me, then I able to leave.","1","I am so sorry to hear that you went through such a traumatic experience. It is completely understandable that you are feeling overwhelmed and unsure of how to move forward. It takes a lot of courage to reach out for help and support, and I want to commend you for taking this step.

It is important to remember that what happened was not your fault. You did not deserve to be in that situation, and it is not a reflection of who you are as a person. It is normal to feel a range of emotions after such a traumatic event, including fear, anger, sadness, and confusion.

I would encourage you to seek out professional help from a counselor or therapist who can provide you with the support and guidance you need to process your feelings and work through the trauma. It can also be helpful to reach out to a trusted friend or family member for emotional support.

Remember that healing is a process, and it is okay to take things one day at a time. You are not alone, and there are people who care about you and want to help you through this difficult time. Please take care of yourself and prioritize your well-being as you navigate this challenging experience."
"train/114.txt","My ex-boyfriend is with someone new, and it hurts  I just got out of a two year relationship. I broke up with my boyfriend because he wasn't showing any affection at all. He was talking to other women and lying about it. It pushed me away and hurt me, but I'm still in love with him. A couple days after our breakup, he was talking to someone new. He told me he wasn't sure if he loved me. I cried for several days, lost my appetite, and couldn't sleep. Our whole relationship was only us. We didn't have friends. It was me and him against the world. We didn't talk to anyone else because we only wanted to talk to each other. We hung out constantly and Skyped to sleep every single night. Then, when I cut myself, we talked on Skype. He cried and told me ""I'm still in love with you, I never stopped loving you,"" and I cried tears of joy. I asked multiple times if he loved me and asked to make sure he wasn't just saying that because of me being so depressed. He promised and assured me he loved me. He came over after that, and we had sex because he wanted to. He went the home that night and told me he didn't love me, and he lied because he was scared. He told me I wasn't attractive, I wasn’t beautiful to him, and that I changed. He also told me he was 100% sure he'd never love me again. I'm still in love with him. Why do I love him? How do I stop? Just knowing that someone else is with him hurts me. That I wasn't good enough and that I'm no longer beautiful hurts me. I think I need a therapist, but don't know if I should.","1","I am so sorry to hear about the pain you are going through right now. It sounds like you have been through a lot emotionally, and it is completely understandable that you are feeling hurt and confused. It is common to still have feelings for someone even after a breakup, especially when the relationship was as intense and all-consuming as yours was.

It is important to remember that your worth and beauty are not defined by someone else's opinion of you. You deserve to be with someone who treats you with love, respect, and honesty. It is not your fault that your ex-boyfriend was unable to see your worth and appreciate you for who you are.

Seeking therapy could be a helpful step in processing your feelings and moving forward in a healthy way. A therapist can provide you with support, guidance, and coping strategies to help you navigate through this difficult time. It is okay to ask for help and take care of yourself during this challenging period.

Remember to be kind to yourself and give yourself time to heal. You deserve to be happy and to be with someone who truly values and cherishes you. You are not alone in this, and there are people who care about you and want to help you through this. Take care."
"train/382.txt","Should we put off kids until my husband is mentally cured?  My boyfriend is seeking therapy. He is in his 40s and has some childhood issues. He has kids from his previous ex-wife and is unable to see them.","0","I can understand that you may be feeling uncertain about starting a family while your husband is still working through his mental health issues. It's important to prioritize both your husband's well-being and the potential impact on your future children. 

It may be helpful for you and your husband to explore these concerns in therapy together. In the meantime, I would recommend considering the suggestions I provided earlier in terms of managing your own worries and expectations. It's also important to communicate openly with your husband about your concerns and to work together to create a plan that feels right for both of you.

Ultimately, the decision to have children is a personal one that should be made based on what feels right for your relationship and family dynamic. It may be helpful to seek guidance from a therapist or counselor who can support you both through this decision-making process."
"train/151.txt","When I'm around children I get this intense feeling of paranoia and fear  I'm a male in my early 20s. Lately, my paranoia about being around kids is causing me too breathe heavy and sweat a lot. I then start to act weird because I'm trying to fight my paranoia. This leads to people starring at me because they don't know that I'm suffering from panic attacks and paranoia. They just notice me acting scared around kids and they think I'm a threat because of it.    I'm not a pervert or predator. I would never hurt a kid. I like kids and don't know why I'm so scared to be around them.    I don't understand why I feel like this. Am I a bad person? How do I make this stop?","1","I want to first commend you for reaching out and being brave enough to share your struggles. It takes a lot of courage to acknowledge and seek help for feelings that are causing you distress. It's important to remember that having these feelings does not make you a bad person. It sounds like you are experiencing intense anxiety and panic attacks when you are around children, and that can be very overwhelming and scary.

It's possible that there may be underlying reasons for your fear and paranoia that you may not be consciously aware of. It could be helpful to explore these feelings with a therapist who can help you uncover the root causes and work through them in a safe and supportive environment.

In the meantime, practicing relaxation techniques such as deep breathing, mindfulness, and grounding exercises can help you manage your anxiety in the moment. Remember to be kind and patient with yourself as you navigate this challenging experience. You are not alone, and there is support available to help you work through these feelings. Take care."
"train/153.txt","Why do I feel anxious and uncomfortable at parties or big social situations? Example would be homecoming? I was at my high school's home football game on Friday, and I left because I felt uncomfortable with all the people there and I just wanted to be by myself. Why is that?","0","I'm sorry to hear that you're feeling anxious and uncomfortable in social situations like parties or big events like homecoming. It's not uncommon for people to feel overwhelmed in crowded and social settings. It's possible that you may benefit from learning social skills training to help with successful interactions with others. Gradually spending more time with people may also help you become more comfortable in social settings over time.

It's important to recognize that thoughts of defectiveness or feeling out of place are often influenced by the critical language of significant others in our lives. It's possible that past experiences or negative feedback from others may be contributing to your feelings of discomfort in social situations.

It's okay to take breaks or step away from overwhelming situations like the football game you mentioned. It's important to prioritize your mental well-being and take care of yourself. If these feelings persist or become too overwhelming, it may be helpful to seek support from a mental health counselor who can help you explore these feelings further and develop coping strategies. You are not alone in feeling this way, and there are resources available to help you navigate these emotions."
"train/286.txt","Why do I have low self-esteem and lack confidence?   I always need alcohol to feel better and use that as a excuse.","2","Check out my latest blog on:  Four-ways-add-self-esteem-friends-listI hope this offers you some nuggets of helpfulness!"
"train/208.txt","I have come to the realization that my boyfriend and I want different things  I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month. I want someone who is more present and more of a life companion. Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want. We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.","1","I am sorry to hear that you are going through such a difficult and painful situation. It takes a lot of courage to recognize that you want different things in a relationship and to consider ending it for your own well-being. It is clear that you have put a lot of thought and reflection into this decision, and it is important to prioritize your own needs and happiness.

It is completely normal to feel anxious and depressed when facing the end of a long-term relationship, especially when there is uncertainty about the future. It is important to remember that these feelings are valid and that it is okay to seek support from friends, family, or a mental health professional during this challenging time.

It may be helpful to explore why you keep reconciling with your boyfriend despite feeling frustrated and unfulfilled in the relationship. Are there underlying fears or beliefs that are driving this pattern of behavior? Taking the time to understand your own emotions and motivations can help you make a decision that is truly in line with your own values and desires.

Remember that it is okay to prioritize your own happiness and well-being, even if it means facing temporary discomfort or uncertainty. Trust that you have the strength and resilience to navigate this difficult situation and to ultimately find a relationship that aligns with your needs and desires. Take care of yourself and reach out for support when you need it."
